number,flag,text
1026947,0,leaves
1026948,0,leaves
1026949,0,leaves
1026950,0,leaves
1026951,0,dirt
1026952,0,dirt
1026953,0,dirt
1026954,0,dirt
1026955,0,dirt
1026956,0,dirt
1026957,0,dirt
1026958,0,dirt
1026959,0,dirt
1026960,0,dirt
1026961,0,dirt
1026962,0,dirt
1026963,0,dirt
1026964,0,dirt
1026965,0,dirt
1026966,0,dirt
1026967,0,dirt
1026968,0,dirt
1026969,0,dirt
1026970,0,dirt
1026971,0,dirt
1026972,0,dirt
1026973,0,dirt
1026974,0,dirt
1026975,0,treasure
1026976,0,treasure
1026977,0,treasure
1026978,0,treasure
1026979,0,treasure
1026980,0,treasure
1026981,0,treasure
1026982,0,treasure
1026983,0,treasure
1026984,0,treasure
1026985,0,
1026986,0,treasure
1026987,0,treasure
1026988,0,treasure
1026989,0,treasure
1026990,0,treasure
1026991,0,treasure
1026992,0,treasure
1026993,0,treasure
1026994,0,
1026995,0,treasure
1026996,0,treasure
1026997,0,treasure
1026998,0,treasure
1026999,0,treasure
1027000,0,treasure
1027001,0,treasure
1027002,0,treasure
1027003,0,treasure
1027004,0,treasure
1027005,0,treasure
1027006,0,
1027007,0,treasure
1027008,0,treasure
1027009,0,treasure
1027010,0,treasure
1027011,0,treasure
1027012,0,treasure
1027013,0,treasure
1027014,0,treasure
1027015,0,treasure
1027016,0,treasure
1027017,0,treasure
1027018,0,treasure
1027019,0,wall cracks
1027020,0,wall cracks
1027021,0,wall cracks
1027022,0,wall cracks
1027023,0,wall cracks
1027024,0,target tile
1027025,0,hole
1027026,0,bronze shield
1027027,0,buckler 
1027028,0,metal kite shield
1027029,0,metal kite shield
1027030,0,heater shield
1027031,0,heater shield
1027032,0,tear kite shield
1027033,0,tear kite shield
1027034,0,wooden shield
1027035,0,metal shield
1027036,0,skeleton
1027037,0,skeleton
1027038,0,tuscany pine
1027039,0,skeleton
1027040,0,skeleton
1027041,0,wood
1027042,0,wood
1027043,0,wood
1027044,0,wood
1027045,0,wood
1027046,0,wood
1027047,0,wood
1027048,0,wood
1027049,0,wood
1027050,0,wood
1027051,0,wood
1027052,0,wood
1027053,0,wood
1027054,0,wood
1027055,0,wood
1027056,0,wood
1027057,0,wood
1027058,0,wood
1027059,0,wood
1027060,0,
1027061,0,
1027062,0,
1027063,0,wood
1027064,0,wood
1027065,0,wood
1027066,0,wood
1027067,0,wood
1027068,0,twigs
1027069,0,twigs
1027070,0,twigs
1027071,0,refuse
1027072,0,refuse
1027073,0,refuse
1027074,0,refuse
1027075,0,refuse
1027076,0,refuse
1027077,0,refuse
1027078,0,refuse
1027079,0,refuse
1027080,0,refuse
1027081,0,refuse
1027082,0,refuse
1027083,0,refuse
1027084,0,refuse
1027085,0,refuse
1027086,0,refuse
1027087,0,refuse
1027088,0,refuse
1027089,0,refuse
1027090,0,refuse
1027091,0,
1027092,0,refuse
1027093,0,refuse
1027094,0,refuse
1027095,0,refuse
1027096,0,refuse
1027097,0,refuse
1027098,0,refuse
1027099,0,refuse
1027100,0,refuse
1027101,0,refuse
1027102,0,
1027103,0,stone trigger
1027104,0,stone trigger
1027105,0,stone trigger
1027106,0,
1027107,0,Chaos shield
1027108,0,Order shield
1027109,0,Order shield
1027110,0,
1027111,0,
1027112,0,
1027113,0,
1027114,0,
1027115,0,
1027116,0,
1027117,0,
1027118,0,
1027119,0,
1027120,0,
1027121,0,feather
1027122,0,feathers
1027123,0,feathers
1027124,0,shaft
1027125,0,shafts
1027126,0,shafts
1027127,0,board
1027128,0,boards
1027129,0,boards
1027130,0,board
1027131,0,boards
1027132,0,boards
1027133,0,log
1027134,0,logs
1027135,0,logs
1027136,0,log
1027137,0,logs
1027138,0,logs
1027139,0,copper ingot
1027140,0,copper ingots
1027141,0,copper ingots
1027142,0,copper ingot
1027143,0,copper ingots
1027144,0,copper ingots
1027145,0,gold ingot
1027146,0,gold ingots
1027147,0,gold ingots
1027148,0,gold ingot
1027149,0,gold ingots
1027150,0,gold ingots
1027151,0,iron ingot
1027152,0,iron ingots
1027153,0,iron ingots
1027154,0,ingots
1027155,0,iron ingots
1027156,0,iron ingots
1027157,0,silver ingot
1027158,0,silver ingots
1027159,0,silver ingots
1027160,0,silver ingot
1027161,0,silver ingots
1027162,0,silver ingots
1027163,0,crossbow bolt
1027164,0,crossbow bolts
1027165,0,crossbow bolts
1027166,0,crossbow bolt
1027167,0,crossbow bolt
1027168,0,leather shorts
1027169,0,leather shorts
1027170,0,studded armor
1027171,0,studded armor
1027172,0,female plate
1027173,0,female plate
1027174,0,female leather armor
1027175,0,female leather armor
1027176,0,leather skirt
1027177,0,leather skirt
1027178,0,leather bustier
1027179,0,leather bustier
1027180,0,studded bustier
1027181,0,studded bustier
1027182,0,
1027183,0,
1027184,0,
1027185,0,Book of Truth?
1027186,0,Bell of Courage
1027187,0,Book of Truth
1027188,0,Candle of Love
1027189,0,Candle of Love
1027190,0,Candle of Love
1027191,0,
1027192,0,oil flask
1027193,0,oil flask
1027194,0,oil flask
1027195,0,oil flask
1027196,0,oil flask
1027197,0,oil flask
1027198,0,oil flask
1027199,0,oil flask
1027200,0,
1027201,0,
1027202,0,casket
1027203,0,casket
1027204,0,casket
1027205,0,casket
1027206,0,casket
1027207,0,casket
1027208,0,casket
1027209,0,casket
1027210,0,casket
1027211,0,casket
1027212,0,casket
1027213,0,casket
1027214,0,casket
1027215,0,casket
1027216,0,casket
1027217,0,casket
1027218,0,casket
1027219,0,casket
1027220,0,casket
1027221,0,casket
1027222,0,casket
1027223,0,casket
1027224,0,casket
1027225,0,casket
1027226,0,casket
1027227,0,casket
1027228,0,coffin
1027229,0,coffin
1027230,0,coffin
1027231,0,coffin
1027232,0,coffin
1027233,0,coffin
1027234,0,coffin
1027235,0,coffin
1027236,0,coffin
1027237,0,coffin
1027238,0,coffin
1027239,0,coffin
1027240,0,coffin
1027241,0,coffin
1027242,0,coffin
1027243,0,coffin
1027244,0,coffin
1027245,0,coffin
1027246,0,coffin
1027247,0,coffin
1027248,0,coffin
1027249,0,coffin
1027250,0,coffin
1027251,0,coffin
1027252,0,coffin
1027253,0,coffin
1027254,0,coffin
1027255,0,coffin
1027256,0,coffin lid
1027257,0,coffin lid
1027258,0,coffin lid
1027259,0,coffin lid
1027260,0,coffin lid
1027261,0,coffin lid
1027262,0,coffin lid
1027263,0,coffin lid
1027264,0,sarcophagus
1027265,0,sarcophagus
1027266,0,sarcophagus
1027267,0,sarcophagus
1027268,0,sarcophagus
1027269,0,sarcophagus
1027270,0,sarcophagus lid
1027271,0,sarcophagus lid
1027272,0,sarcophagus lid
1027273,0,sarcophagus
1027274,0,sarcophagus
1027275,0,sarcophagus
1027276,0,sarcophagus
1027277,0,sarcophagus
1027278,0,sarcophagus
1027279,0,sarcophagus
1027280,0,sarcophagus
1027281,0,sarcophagus
1027282,0,sarcophagus
1027283,0,sarcophagus
1027284,0,sarcophagus
1027285,0,sarcophagus
1027286,0,sarcophagus
1027287,0,sarcophagus
1027288,0,sarcophagus
1027289,0,sarcophagus
1027290,0,sarcophagus
1027291,0,sarcophagus 
1027292,0,sarcophagus
1027293,0,sarcophagus lid
1027294,0,sarcophagus lid
1027295,0,sarcophagus lid
1027296,0,sarcophagus
1027297,0,sarcophagus
1027298,0,sarcophagus
1027299,0,sarcophagus
1027300,0,sarcophagus
1027301,0,sarcophagus
1027302,0,sarcophagus
1027303,0,sarcophagus
1027304,0,sarcophagus
1027305,0,sarcophagus
1027306,0,sarcophagus
1027307,0,sarcophagus
1027308,0,sarcophagus
1027309,0,sarcophagus
1027310,0,sarcophagus
1027311,0,sarcophagus
1027312,0,sarcophagus
1027313,0,sarcophagus
1027314,0,sarcophagus
1027315,0,sarcophagus
1027316,0,sarcophagus
1027317,0,sarcophagus
1027318,0,sarcophagus lid
1027319,0,sarcophagus lid
1027320,0,sarcophagus lid
1027321,0,sarcophagus
1027322,0,sarcophagus
1027323,0,sarcophagus
1027324,0,sarcophagus
1027325,0,sarcophagus
1027326,0,sarcophagus
1027327,0,sarcophagus
1027328,0,sarcophagus
1027329,0,sarcophagus
1027330,0,sarcophagus
1027331,0,sarcophagus
1027332,0,sarcophagus
1027333,0,sarcophagus
1027334,0,sarcophagus
1027335,0,sarcophagus
1027336,0,sarcophagus
1027337,0,sarcophagus
1027338,0,sarcophagus
1027339,0,sarcophagus
1027340,0,sarcophagus
1027341,0,sarcophagus lid
1027342,0,sarcophagus lid
1027343,0,sarcophagus lid
1027344,0,sarcophagus
1027345,0,sarcophagus
1027346,0,sarcophagus
1027347,0,sarcophagus
1027348,0,sarcophagus
1027349,0,sarcophagus
1027350,0,sarcophagus
1027351,0,sarcophagus
1027352,0,sarcophagus
1027353,0,sarcophagus
1027354,0,sarcophagus
1027355,0,sarcophagus
1027356,0,sarcophagus
1027357,0,sarcophagus
1027358,0,sarcophagus
1027359,0,sarcophagus
1027360,0,
1027361,0,
1027362,0,
1027363,0,
1027364,0,
1027365,0,
1027366,0,
1027367,0,blood
1027368,0,blood
1027369,0,blood
1027370,0,blood
1027371,0,blood
1027372,0,blood
1027373,0,blood
1027374,0,blood
1027375,0,blood
1027376,0,blood
1027377,0,blood
1027378,0,blood
1027379,0,blood
1027380,0,blood
1027381,0,blood
1027382,0,blood
1027383,0,blood
1027384,0,blood
1027385,0,blood
1027386,0,blood
1027387,0,blood
1027388,0,blood
1027389,0,arm
1027390,0,body
1027391,0,legs
1027392,0,torso
1027393,0,head
1027394,0,leg
1027395,0,body part
1027396,0,legs
1027397,0,arm
1027398,0,body
1027399,0,legs
1027400,0,torso
1027401,0,head
1027402,0,body part
1027403,0,legs
1027404,0,leg
1027405,0,heart
1027406,0,liver
1027407,0,entrails
1027408,0,brain
1027409,0,blood
1027410,0,blood
1027411,0,blood
1027412,0,blood
1027413,0,blood
1027414,0,blood
1027415,0,blood
1027416,0,blood
1027417,0,blood
1027418,0,blood
1027419,0,blood
1027420,0,blood
1027421,0,blood
1027422,0,blood
1027423,0,blood
1027424,0,blood
1027425,0,blood
1027426,0,blood
1027427,0,blood
1027428,0,blood
1027429,0,blood
1027430,0,blood
1027431,0,blood
1027432,0,blood
1027433,0,blood
1027434,0,blood
1027435,0,blood
1027436,0,blood
1027437,0,blood
1027438,0,blood
1027439,0,blood
1027440,0,blood
1027441,0,blood
1027442,0,blood
1027443,0,body
1027444,0,body
1027445,0,body
1027446,0,body
1027447,0,body
1027448,0,body
1027449,0,body
1027450,0,body
1027451,0,body
1027452,0,body
1027453,0,body
1027454,0,body
1027455,0,body
1027456,0,body
1027457,0,body
1027458,0,body
1027459,0,body
1027460,0,body
1027461,0,body
1027462,0,body
1027463,0,body
1027464,0,body
1027465,0,body
1027466,0,body
1027467,0,body
1027468,0,body
1027469,0,body
1027470,0,body
1027471,0,body
1027472,0,body
1027473,0,body
1027474,0,body
1027475,0,body
1027476,0,body
1027477,0,body
1027478,0,body
1027479,0,body
1027480,0,body
1027481,0,body
1027482,0,body
1027483,0,body
1027484,0,body
1027485,0,body
1027486,0,body
1027487,0,body
1027488,0,body
1027489,0,body
1027490,0,body
1027491,0,body
1027492,0,body
1027493,0,body
1027494,0,body
1027495,0,body
1027496,0,body
1027497,0,body
1027498,0,body
1027499,0,body
1027500,0,skeleton
1027501,0,skeleton
1027502,0,skeleton
1027503,0,skeleton
1027504,0,skeleton
1027505,0,skeleton
1027506,0,skeleton
1027507,0,skeleton
1027508,0,skeleton
1027509,0,skeleton
1027510,0,skeleton
1027511,0,skeleton
1027512,0,skeleton
1027513,0,skeleton
1027514,0,skeleton
1027515,0,skeleton
1027516,0,skeleton
1027517,0,skeleton
1027518,0,skeleton
1027519,0,skeleton
1027520,0,skeleton
1027521,0,skeleton
1027522,0,skeleton
1027523,0,skeleton
1027524,0,skeleton
1027525,0,skeleton
1027526,0,skeleton
1027527,0,skeleton
1027528,0,skeleton
1027529,0,skeleton
1027530,0,skeleton
1027531,0,skeleton
1027532,0,skeleton
1027533,0,skeleton
1027534,0,skeleton
1027535,0,skeleton
1027536,0,skeleton
1027537,0,skeleton
1027538,0,skeleton
1027539,0,skeleton
1027540,0,skeleton
1027541,0,skeleton
1027542,0,skeleton
1027543,0,skeleton
1027544,0,skeleton
1027545,0,skeleton
1027546,0,skeleton
1027547,0,skeleton
1027548,0,skeleton
1027549,0,skeleton
1027550,0,skeleton
1027551,0,skeleton
1027552,0,skeleton
1027553,0,skeleton
1027554,0,skeleton
1027555,0,skeleton
1027556,0,skeleton
1027557,0,skeleton
1027558,0,skeleton
1027559,0,skeleton
1027560,0,skeleton
1027561,0,skeleton
1027562,0,body
1027563,0,body
1027564,0,body
1027565,0,body
1027566,0,skeleton
1027567,0,skeleton
1027568,0,skeleton
1027569,0,skeleton
1027570,0,blood
1027571,0,blood
1027572,0,blood
1027573,0,blood
1027574,0,blood
1027575,0,ankh of sacrifice
1027576,0,ankh of sacrifice
1027577,0,spike trap
1027578,0,spike trap
1027579,0,spike trap
1027580,0,spike trap
1027581,0,spike trap
1027582,0,spike trap
1027583,0,torso
1027584,0,head
1027585,0,left arm
1027586,0,right arm
1027587,0,left leg
1027588,0,right leg
1027589,0,table
1027590,0,table
1027591,0,table
1027592,0,table
1027593,0,table
1027594,0,table
1027595,0,table
1027596,0,table
1027597,0,body
1027598,0,head
1027599,0,right arm
1027600,0,left arm
1027601,0,right leg
1027602,0,left leg
1027603,0,broken barrel
1027604,0,broken barrel
1027605,0,broken barrel
1027606,0,broken barrel
1027607,0,barrel hoops
1027608,0,barrel lid
1027609,0,leather cap
1027610,0,leather cap
1027611,0,sandstone table
1027612,0,sandstone table
1027613,0,sandstone table
1027614,0,sandstone table
1027615,0,sandstone table
1027616,0,sandstone table
1027617,0,marble table
1027618,0,marble table
1027619,0,marble table
1027620,0,marble table
1027621,0,marble table
1027622,0,marble table
1027623,0,sandstone bench
1027624,0,sandstone bench
1027625,0,sandstone bench
1027626,0,sandstone bench
1027627,0,sandstone bench
1027628,0,sandstone bench
1027629,0,marble bench
1027630,0,marble bench
1027631,0,marble bench
1027632,0,marble bench
1027633,0,marble bench
1027634,0,marble bench
1027635,0,rug
1027636,0,rug
1027637,0,rug
1027638,0,rug
1027639,0,rug
1027640,0,rug
1027641,0,rug
1027642,0,rug
1027643,0,rug
1027644,0,rug
1027645,0,rug
1027646,0,rug
1027647,0,rug
1027648,0,rug
1027649,0,rug
1027650,0,rug
1027651,0,rug
1027652,0,rug
1027653,0,rug
1027654,0,rug
1027655,0,rug
1027656,0,rug
1027657,0,rug
1027658,0,rug
1027659,0,rug
1027660,0,rug
1027661,0,rug
1027662,0,rug
1027663,0,rug
1027664,0,rug
1027665,0,rug
1027666,0,rug
1027667,0,rug
1027668,0,rug
1027669,0,rug
1027670,0,rug
1027671,0,rug
1027672,0,rug
1027673,0,rug
1027674,0,rug
1027675,0,rug
1027676,0,rug
1027677,0,dirt
1027678,0,dirt
1027679,0,dirt
1027680,0,dirt
1027681,0,mud
1027682,0,mud
1027683,0,footprints
1027684,0,footprints
1027685,0,footprints
1027686,0,footprints
1027687,0,stain
1027688,0,stain
1027689,0,stain
1027690,0,stain
1027691,0,stain
1027692,0,stain
1027693,0,stain
1027694,0,stain
1027695,0,potted cactus
1027696,0,potted cactus
1027697,0,potted cactus
1027698,0,potted cactus
1027699,0,potted cactus
1027700,0,potted cactus
1027701,0,raw fish
1027702,0,raw fish
1027703,0,raw fish
1027704,0,raw fish
1027705,0,fish head
1027706,0,fish head
1027707,0,fish heads
1027708,0,cooked fish
1027709,0,cooked fish
1027710,0,cooked fish
1027711,0,sliced ham
1027712,0,book
1027713,0,books
1027714,0,books
1027715,0,books
1027716,0,books
1027717,0,books
1027718,0,oar
1027719,0,oar
1027720,0,oar
1027721,0,oar
1027722,0,oars
1027723,0,oars
1027724,0,pickpocket dip
1027725,0,pickpocket dip
1027726,0,dartboard
1027727,0,dartboard
1027728,0,dartboard w/axe
1027729,0,dartboard w/axe
1027730,0,dartboard w/knives
1027731,0,dartboard w/knives
1027732,0,scarecrow
1027733,0,scarecrow
1027734,0,bearskin rug
1027735,0,bearskin rug
1027736,0,bearskin rug
1027737,0,bearskin rug
1027738,0,bearskin rug
1027739,0,bearskin rug
1027740,0,bearskin rug
1027741,0,bearskin rug
1027742,0,bearskin rug
1027743,0,
1027744,0,bearskin rug
1027745,0,bearskin rug
1027746,0,bearskin rug
1027747,0,bearskin rug
1027748,0,bearskin rug
1027749,0,bearskin rug
1027750,0,bearskin rug
1027751,0,bearskin rug
1027752,0,bearskin rug
1027753,0,bearskin rug
1027754,0,bearskin rug
1027755,0,bearskin rug
1027756,0,bearskin rug
1027757,0,bearskin rug
1027758,0,bearskin rug
1027759,0,bearskin rug
1027760,0,bearskin rug
1027761,0,bearskin rug
1027762,0,
1027763,0,bearskin rug
1027764,0,bearskin rug
1027765,0,bearskin rug
1027766,0,bearskin rug
1027767,0,bearskin rug
1027768,0,bearskin rug
1027769,0,bearskin rug
1027770,0,bearskin rug
1027771,0,bearskin rug
1027772,0,Ankh of Sacrifice
1027773,0,Ankh of Sacrifice
1027774,0,bulletin board
1027775,0,bulletin board
1027776,0,trophy
1027777,0,trophy
1027778,0,trophy
1027779,0,trophy
1027780,0,trophy
1027781,0,trophy
1027782,0,trophy
1027783,0,trophy
1027784,0,trophy
1027785,0,trophy
1027786,0,trophy
1027787,0,trophy
1027788,0,trophy
1027789,0,trophy
1027790,0,board
1027791,0,chair
1027792,0,drawer
1027793,0,chest of drawers
1027794,0,table
1027795,0,table legs
1027796,0,table leg
1027797,0,table legs
1027798,0,shelves
1027799,0,board
1027800,0,chair
1027801,0,drawer
1027802,0,chest of drawers
1027803,0,table
1027804,0,table legs
1027805,0,table leg
1027806,0,shelves
1027807,0,stool
1027808,0,wooden box
1027809,0,wooden box
1027810,0,lathe work
1027811,0,bird
1027812,0,bird
1027813,0,bird
1027814,0,bird
1027815,0,chicken
1027816,0,skinned goat
1027817,0,skinned goat
1027818,0,lard
1027819,0,plucked chicken
1027820,0,pig's feet
1027821,0,pig's feet
1027822,0,pig's head
1027823,0,pig's head
1027824,0,skinned deer
1027825,0,skinned deer
1027826,0,skinned rabbit
1027827,0,skinned rabbit
1027828,0,chicken on a spit
1027829,0,rabbit on a spit
1027830,0,spit
1027831,0,chicken on a spit
1027832,0,rabbit on a spit
1027833,0,spit
1027834,0,hook
1027835,0,hook
1027836,0,pullies
1027837,0,pullies
1027838,0,pulley
1027839,0,pulley
1027840,0,rope
1027841,0,rope
1027842,0,rope
1027843,0,net
1027844,0,net
1027845,0,net
1027846,0,net
1027847,0,Worldgem bit
1027848,0,winch
1027849,0,winch
1027850,0,winch
1027851,0,winch
1027852,0,winch
1027853,0,winch
1027854,0,winch
1027855,0,winch
1027856,0,burned food
1027857,0,barrel staves
1027858,0,barrel staves
1027859,0,barrel staves
1027860,0,barrel staves
1027861,0,unfinished barrel
1027862,0,empty tool kit
1027863,0,empty tool kit
1027864,0,tool kit
1027865,0,tool kit
1027866,0,tool kit
1027867,0,tool kit
1027868,0,tinker's tools
1027869,0,wheat sheaf
1027870,0,wheat sprouts
1027871,0,wheat sprouts
1027872,0,pickpocket dip
1027873,0,pickpocket dip
1027874,0,pickpocket dip
1027875,0,pickpocket dip
1027876,0,pickpocket dip
1027877,0,pickpocket dip
1027878,0,dropping coins
1027879,0,dropping coins
1027880,0,dropping coins
1027881,0,dropping coins
1027882,0,pylon
1027883,0,pylon
1027884,0,pylon
1027885,0,light
1027886,0,light
1027887,0,light
1027888,0,light
1027889,0,light
1027890,0,light
1027891,0,target
1027892,0,target
1027893,0,target
1027894,0,target
1027895,0,target
1027896,0,target
1027897,0,magical door
1027898,0,magical door
1027899,0,magical door
1027900,0,magical door
1027901,0,magical door
1027902,0,magical door
1027903,0,magical door
1027904,0,magical door
1027905,0,
1027906,0,magical door
1027907,0,magical door
1027908,0,magical door
1027909,0,magical door
1027910,0,magical door
1027911,0,magical door
1027912,0,magical door
1027913,0,magical door
1027914,0,magical door
1027915,0,magical door
1027916,0,magical door
1027917,0,magical door
1027918,0,magical door
1027919,0,magical door
1027920,0,magical door
1027921,0,magical door
1027922,0,magical door
1027923,0,
1027924,0,magical door
1027925,0,magical door
1027926,0,magical door
1027927,0,magical door
1027928,0,magical door
1027929,0,magical door
1027930,0,magical door
1027931,0,magical door
1027932,0,magical door
1027933,0,fancy shirt
1027934,0,fancy shirt
1027935,0,fancy dress
1027936,0,fancy dress
1027937,0,plain dress
1027938,0,plain dress
1027939,0,robe
1027940,0,robe
1027941,0,bead necklace
1027942,0,bracelet
1027943,0,earrings
1027944,0,necklace
1027945,0,ring
1027946,0,silver necklace
1027947,0,orc helm
1027948,0,orc helm
1027949,0,morning glory
1027950,0,morning glory
1027951,0,morning glory
1027952,0,morning glory
1027953,0,morning glory
1027954,0,morning glory
1027955,0,worldgem bit
1027956,0,recall rune
1027957,0,recall rune
1027958,0,recall rune
1027959,0,recall rune
1027960,0,statue
1027961,0,magical crystal
1027962,0,magical crystal
1027963,0,magical crystal
1027964,0,magical crystal
1027965,0,magical crystal
1027966,0,magical crystal
1027967,0,head
1027968,0,head
1027969,0,head
1027970,0,head
1027971,0,deed
1027972,0,bedroll
1027973,0,bedroll
1027974,0,bedroll
1027975,0,bedroll
1027976,0,sign
1027977,0,sign
1027978,0,pedestal
1027979,0,brazier
1027980,0,
1027981,0,Reactive Armor
1027982,0,Clumsy
1027983,0,Create Food
1027984,0,Feeblemind
1027985,0,Heal
1027986,0,Magic Arrow
1027987,0,Night Sight
1027988,0,Weaken
1027989,0,Agility
1027990,0,Cunning
1027991,0,Cure
1027992,0,Harm
1027993,0,Magic Trap
1027994,0,Magic Untrap
1027995,0,Protection
1027996,0,Strength
1027997,0,Bless
1027998,0,Fireball
1027999,0,Magic Lock
1028000,0,Poison
1028001,0,Telekinesis
1028002,0,Teleport
1028003,0,Unlock
1028004,0,Wall of Stone
1028005,0,Arch Cure
1028006,0,Arch Protection
1028007,0,Curse
1028008,0,Fire Field
1028009,0,Greater Heal
1028010,0,Lightning
1028011,0,Mana Drain
1028012,0,Recall
1028013,0,Blade Spirits
1028014,0,Dispel Field
1028015,0,Incognito
1028016,0,Magic Reflection
1028017,0,Mind Blast
1028018,0,Paralyze
1028019,0,Poison Field
1028020,0,Summon Creature
1028021,0,Dispel
1028022,0,Energy Bolt
1028023,0,Explosion
1028024,0,Invisibility
1028025,0,Mark
1028026,0,Mass Curse
1028027,0,Paralyze Field
1028028,0,Reveal
1028029,0,Chain Lightning
1028030,0,Energy Field
1028031,0,Flamestrike
1028032,0,Gate Travel
1028033,0,Mana Vampire
1028034,0,Mass Dispel
1028035,0,Meteor Swarm
1028036,0,Polymorph
1028037,0,Earthquake
1028038,0,Energy Vortex
1028039,0,Resurrection
1028040,0,Summon Air Elemental
1028041,0,Summon Daemon
1028042,0,Summon Earth Elemental
1028043,0,Summon Fire Elemental
1028044,0,Summon Water Elemental
1028045,0,scroll
1028046,0,scroll
1028047,0,scroll
1028048,0,scroll
1028049,0,scroll
1028050,0,scroll
1028051,0,fur
1028052,0,fur
1028053,0,fur
1028054,0,fur
1028055,0,fur
1028056,0,fur
1028057,0,fur
1028058,0,fur
1028059,0,doublet
1028060,0,doublet
1028061,0,glass of cider
1028062,0,glass of cider
1028063,0,glass of cider
1028064,0,glass of cider
1028065,0,glass
1028066,0,glass
1028067,0,glass
1028068,0,glass
1028069,0,glass of liquor
1028070,0,glass of liquor
1028071,0,glass of liquor
1028072,0,glass of liquor
1028073,0,glass of milk
1028074,0,glass of milk
1028075,0,glass of milk
1028076,0,glass of milk
1028077,0,glass of wine
1028078,0,glass of wine
1028079,0,glass of wine
1028080,0,glass of wine
1028081,0,glass of water
1028082,0,glass of water
1028083,0,glass of water
1028084,0,glass of water
1028085,0,pitcher of ale
1028086,0,pitcher of ale
1028087,0,pitcher of cider
1028088,0,pitcher of cider
1028089,0,pitcher of liquor
1028090,0,pitcher of liquor
1028091,0,pitcher of wine
1028092,0,pitcher of wine
1028093,0,pitcher of water
1028094,0,pitcher of water
1028095,0,jester suit
1028096,0,jester suit
1028097,0,tunic
1028098,0,tunic
1028099,0,wave
1028100,0,wave
1028101,0,wave
1028102,0,wave
1028103,0,wave
1028104,0,wave
1028105,0,wave
1028106,0,wave
1028107,0,wave
1028108,0,wave
1028109,0,wave
1028110,0,wave
1028111,0,wave
1028112,0,wave
1028113,0,wave
1028114,0,wave
1028115,0,wave
1028116,0,wave
1028117,0,wave
1028118,0,wave
1028119,0,wave
1028120,0,wave
1028121,0,wave
1028122,0,wave
1028123,0,wave
1028124,0,wave
1028125,0,wave
1028126,0,wave
1028127,0,wave
1028128,0,wave
1028129,0,wave
1028130,0,wave
1028131,0,wave
1028132,0,wave
1028133,0,wave
1028134,0,wave
1028135,0,wave
1028136,0,wave
1028137,0,wave
1028138,0,wave
1028139,0,summon moongate
1028140,0,summon moongate
1028141,0,summon moongate
1028142,0,summon moongate
1028143,0,summon moongate
1028144,0,summon moongate
1028145,0,summon moongate
1028146,0,summon moongate
1028147,0,summon moongate
1028148,0,moongate
1028149,0,moongate
1028150,0,moongate
1028151,0,moongate
1028152,0,moongate
1028153,0,
1028154,0,
1028155,0,
1028156,0,
1028157,0,
1028158,0,summon moongate
1028159,0,summon moongate
1028160,0,summon moongate
1028161,0,summon moongate
1028162,0,summon moongate
1028163,0,summon moongate
1028164,0,summon moongate
1028165,0,summon moongate
1028166,0,summon moongate
1028167,0,summon moongate
1028168,0,summon moongate
1028169,0,summon moongate
1028170,0,summon moongate
1028171,0,summon moongate
1028172,0,
1028173,0,barred metal door
1028174,0,barred metal door
1028175,0,barred metal door
1028176,0,barred metal door
1028177,0,barred metal door
1028178,0,barred metal door
1028179,0,barred metal door
1028180,0,barred metal door
1028181,0,barred metal door
1028182,0,barred metal door
1028183,0,barred metal door
1028184,0,barred metal door
1028185,0,barred metal door
1028186,0,barred metal door
1028187,0,barred metal door
1028188,0,barred metal door
1028189,0,surcoat
1028190,0,surcoat
1028191,0,sealed crate
1028192,0,corroded strongbox
1028193,0,lissith's silk
1028194,0,quest key
1028195,0,fishing net
1028196,0,bucket of water
1028197,0,
1028198,0,corpse
1028199,0,
1028200,0,peasant
1028201,0,noble
1028202,0,armourer
1028203,0,baker
1028204,0,bowyer
1028205,0,butcher
1028206,0,guard
1028207,0,healer
1028208,0,innkeeper
1028209,0,jailer
1028210,0,jeweler
1028211,0,leatherworker
1028212,0,mage
1028213,0,pirate
1028214,0,provisioner
1028215,0,sailor
1028216,0,shipwright
1028217,0,tailor
1028218,0,spinner
1028219,0,tavernkeeper
1028220,0,thief
1028221,0,tinker
1028222,0,weapon trainer
1028223,0,weaponsmith
1028224,0,woodworker
1028225,0,sculptor
1028226,0,artist
1028227,0,alchemist
1028228,0,glassblower
1028229,0,musician
1028230,0,fisherman
1028231,0,waiter
1028232,0,animal trainer
1028233,0,rancher
1028234,0,cobbler
1028235,0,beggar
1028236,0,scribe
1028237,0,miner
1028238,0,mayor
1028239,0,gambler
1028240,0,brigand
1028241,0,architect
1028242,0,cartographer
1028243,0,gypsy
1028244,0,herbalist
1028245,0,judge
1028246,0,cook
1028247,0,
1028248,0,
1028249,0,
1028250,0,
1028251,0,
1028252,0,Long Hair
1028253,0,Ponytail
1028254,0,long beard
1028255,0,short beard
1028256,0,goatee
1028257,0,mustache
1028258,0,
1028259,0,
1028260,0,
1028261,0,
1028262,0,
1028263,0,
1028264,0,
1028265,0,
1028266,0,
1028267,0,
1028268,0,
1028269,0,
1028270,0,death shroud
1028271,0,GM Robe
1028272,0,
1028273,0,
1028274,0,
1028275,0,cursor
1028276,0,cursor
1028277,0,cursor
1028278,0,cursor
1028279,0,cursor
1028280,0,cursor
